#This is a CSV file containing the average TPL, TPU, and Cost values for the QU algorithm with NC path compression.
#The data was generated for n = 10000 and delta = 1.
N,Average TPL,Average TPU,Average Cost
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000
14,0.050000,0.000000,0.100000
15,0.100000,0.000000,0.200000
16,0.100000,0.000000,0.200000
17,0.100000,0.000000,0.200000
18,0.100000,0.000000,0.200000
19,0.100000,0.000000,0.200000
20,0.100000,0.000000,0.200000
21,0.100000,0.000000,0.200000
22,0.100000,0.000000,0.200000
23,0.150000,0.000000,0.300000
24,0.150000,0.000000,0.300000
25,0.150000,0.000000,0.300000
26,0.150000,0.000000,0.300000
27,0.150000,0.000000,0.300000
28,0.150000,0.000000,0.300000
29,0.150000,0.000000,0.300000
30,0.150000,0.000000,0.300000
31,0.150000,0.000000,0.300000
32,0.150000,0.000000,0.300000
33,0.150000,0.000000,0.300000
34,0.150000,0.000000,0.300000
35,0.150000,0.000000,0.300000
36,0.200000,0.000000,0.400000
37,0.200000,0.000000,0.400000
38,0.200000,0.000000,0.400000
39,0.200000,0.000000,0.400000
40,0.200000,0.000000,0.400000
41,0.200000,0.000000,0.400000
42,0.200000,0.000000,0.400000
43,0.250000,0.000000,0.500000
44,0.250000,0.000000,0.500000
45,0.250000,0.000000,0.500000
46,0.250000,0.000000,0.500000
47,0.250000,0.000000,0.500000
48,0.250000,0.000000,0.500000
49,0.250000,0.000000,0.500000
50,0.250000,0.000000,0.500000
51,0.250000,0.000000,0.500000
52,0.250000,0.000000,0.500000
53,0.250000,0.000000,0.500000
54,0.250000,0.000000,0.500000
55,0.250000,0.000000,0.500000
56,0.250000,0.000000,0.500000
57,0.250000,0.000000,0.500000
58,0.250000,0.000000,0.500000
59,0.250000,0.000000,0.500000
60,0.250000,0.000000,0.500000
61,0.300000,0.000000,0.600000
62,0.300000,0.000000,0.600000
63,0.300000,0.000000,0.600000
64,0.300000,0.000000,0.600000
65,0.300000,0.000000,0.600000
66,0.400000,0.000000,0.800000
67,0.450000,0.000000,0.900000
68,0.500000,0.000000,1.000000
69,0.500000,0.000000,1.000000
70,0.500000,0.000000,1.000000
71,0.550000,0.000000,1.100000
72,0.550000,0.000000,1.100000
73,0.550000,0.000000,1.100000
74,0.550000,0.000000,1.100000
75,0.550000,0.000000,1.100000
76,0.600000,0.000000,1.200000
77,0.600000,0.000000,1.200000
78,0.600000,0.000000,1.200000
79,0.650000,0.000000,1.300000
80,0.700000,0.000000,1.400000
81,0.750000,0.000000,1.500000
82,0.800000,0.000000,1.600000
83,0.800000,0.000000,1.600000
84,0.800000,0.000000,1.600000
85,0.800000,0.000000,1.600000
86,0.800000,0.000000,1.600000
87,0.800000,0.000000,1.600000
88,0.800000,0.000000,1.600000
89,0.800000,0.000000,1.600000
90,0.800000,0.000000,1.600000
91,0.800000,0.000000,1.600000
92,0.800000,0.000000,1.600000
93,0.850000,0.000000,1.700000
94,0.850000,0.000000,1.700000
95,0.850000,0.000000,1.700000
96,0.950000,0.000000,1.900000
97,0.950000,0.000000,1.900000
98,0.950000,0.000000,1.900000
99,1.000000,0.000000,2.000000
100,1.000000,0.000000,2.000000
101,1.000000,0.000000,2.000000
102,1.000000,0.000000,2.000000
103,1.000000,0.000000,2.000000
104,1.050000,0.000000,2.100000
105,1.050000,0.000000,2.100000
106,1.050000,0.000000,2.100000
107,1.050000,0.000000,2.100000
108,1.100000,0.000000,2.200000
109,1.100000,0.000000,2.200000
110,1.100000,0.000000,2.200000
111,1.100000,0.000000,2.200000
112,1.150000,0.000000,2.300000
113,1.150000,0.000000,2.300000
114,1.150000,0.000000,2.300000
115,1.250000,0.000000,2.500000
116,1.250000,0.000000,2.500000
117,1.350000,0.000000,2.700000
118,1.350000,0.000000,2.700000
119,1.350000,0.000000,2.700000
120,1.350000,0.000000,2.700000
121,1.400000,0.000000,2.800000
122,1.400000,0.000000,2.800000
123,1.400000,0.000000,2.800000
124,1.450000,0.000000,2.900000
125,1.450000,0.000000,2.900000
126,1.450000,0.000000,2.900000
127,1.600000,0.000000,3.200000
128,1.650000,0.000000,3.300000
129,1.700000,0.000000,3.400000
130,1.700000,0.000000,3.400000
131,1.700000,0.000000,3.400000
132,1.700000,0.000000,3.400000
133,1.750000,0.000000,3.500000
134,1.750000,0.000000,3.500000
135,1.750000,0.000000,3.500000
136,1.800000,0.000000,3.600000
137,1.800000,0.000000,3.600000
138,1.800000,0.000000,3.600000
139,1.800000,0.000000,3.600000
140,1.800000,0.000000,3.600000
141,1.800000,0.000000,3.600000
142,1.800000,0.000000,3.600000
143,1.850000,0.000000,3.700000
144,1.850000,0.000000,3.700000
145,1.850000,0.000000,3.700000
146,1.900000,0.000000,3.800000
147,1.900000,0.000000,3.800000
148,1.950000,0.000000,3.900000
149,2.000000,0.000000,4.000000
150,2.000000,0.000000,4.000000
151,2.000000,0.000000,4.000000
152,2.050000,0.000000,4.100000
153,2.050000,0.000000,4.100000
154,2.200000,0.000000,4.400000
155,2.200000,0.000000,4.400000
156,2.200000,0.000000,4.400000
157,2.200000,0.000000,4.400000
158,2.250000,0.000000,4.500000
159,2.300000,0.000000,4.600000
160,2.300000,0.000000,4.600000
161,2.300000,0.000000,4.600000
162,2.300000,0.000000,4.600000
163,2.300000,0.000000,4.600000
164,2.300000,0.000000,4.600000
165,2.300000,0.000000,4.600000
166,2.300000,0.000000,4.600000
167,2.400000,0.000000,4.800000
168,2.400000,0.000000,4.800000
169,2.400000,0.000000,4.800000
170,2.450000,0.000000,4.900000
171,2.450000,0.000000,4.900000
172,2.450000,0.000000,4.900000
173,2.450000,0.000000,4.900000
174,2.450000,0.000000,4.900000
175,2.550000,0.000000,5.100000
176,2.550000,0.000000,5.100000
177,2.600000,0.000000,5.200000
178,2.600000,0.000000,5.200000
179,2.650000,0.000000,5.300000
180,2.650000,0.000000,5.300000
181,2.650000,0.000000,5.300000
182,2.700000,0.000000,5.400000
183,2.700000,0.000000,5.400000
184,2.700000,0.000000,5.400000
185,2.750000,0.000000,5.500000
186,2.750000,0.000000,5.500000
187,2.800000,0.000000,5.600000
188,2.900000,0.000000,5.800000
189,2.950000,0.000000,5.900000
190,2.950000,0.000000,5.900000
191,2.950000,0.000000,5.900000
192,3.000000,0.000000,6.000000
193,3.000000,0.000000,6.000000
194,3.150000,0.000000,6.300000
195,3.150000,0.000000,6.300000
196,3.150000,0.000000,6.300000
197,3.150000,0.000000,6.300000
198,3.150000,0.000000,6.300000
199,3.200000,0.000000,6.400000
200,3.200000,0.000000,6.400000
201,3.350000,0.000000,6.700000
202,3.400000,0.000000,6.800000
203,3.450000,0.000000,6.900000
204,3.450000,0.000000,6.900000
205,3.500000,0.000000,7.000000
206,3.600000,0.000000,7.200000
207,3.700000,0.000000,7.400000
208,3.750000,0.000000,7.500000
209,3.750000,0.000000,7.500000
210,3.750000,0.000000,7.500000
211,3.750000,0.000000,7.500000
